_id,symbol,name,tweet_id,screen_name,bookmarks,favorites,created_at,text,lang,quotes,replies,retweets,time
671fe1125a22311369600909,BTC,bitcoin,1849905253916786767,hamptonism,1144,9408,Fri Oct 25 20:05:56 +0000 2024,"Switzerland unveils a new statue honoring the creator of Bitcoin, 
Satoshi Nakamoto. https://t.co/viEr8u1KEQ",en,78,113,803,2024-10-28 19:08:02.786000
671fe1125a2231136960090a,BTC,bitcoin,1850228656704049285,Ashcryptoreal,88,9210,Sat Oct 26 17:31:02 +0000 2024,"If Bitcoin breaks $72,000 by the end 
of October, I will give $2,000 BTC to 
20 people who like this post. https://t.co/1NgY4H6vic",en,21,952,1278,2024-10-28 19:08:02.786000
671fe1125a2231136960090b,BTC,bitcoin,1849812562323325395,Vivek4real_,23,4219,Fri Oct 25 13:57:37 +0000 2024,"Like, If you think Microsoft should convert $75 billion cash in #Bitcoin immediately 👀 https://t.co/knEP5mh5nI",en,14,163,339,2024-10-28 19:08:02.786000
671fe1125a2231136960090c,BTC,bitcoin,1849150584693076274,MarwanNawaz,6,458,Wed Oct 23 18:07:09 +0000 2024,"Michael Saylor would ""volunteer"" his Bitcoin to you if you threatened to lock him in a cell for 10 years if he didn't. 

Michael would not consider this as you 'seizing' or 'stealing his Bitcoin.

He agrees he would just be ""volunteering"" it to you. https://t.co/wTLpNZnF6g",en,3,9,74,2024-10-28 19:08:02.786000
671fe1125a2231136960090d,BTC,bitcoin,1848948161806798989,naiivememe,1779,10437,Wed Oct 23 04:42:48 +0000 2024,"Me leaving my 9-5 job when Bitcoin hits 250K
https://t.co/KKE41Yt4vk",en,104,272,889,2024-10-28 19:08:02.786000
671fe1125a2231136960090e,BTC,bitcoin,1850555772540752105,CryptoTroia,26,3060,Sun Oct 27 15:10:52 +0000 2024,Bitcoin $70.000 olunca beni takip eden ve beğenen bir kişiye 1000 $ #Bitcoin  gönderiyorum. https://t.co/Ituv6VUb9M,tr,4,366,656,2024-10-28 19:08:02.786000
671fe1125a2231136960090f,BTC,bitcoin,1850898021816377406,DeShawnBTC,18,917,Mon Oct 28 13:50:51 +0000 2024,"#Bitcoin Finally reached $69,000 !

As promised,
I want to change someone's life and send 1 $BTC (~$69,000) to one person by tomorrow. 

Just like, retweet and comment 'done'.
Random winner in 15 hrs https://t.co/kY0BTPEvAo",en,15,691,630,2024-10-28 19:08:02.786000
671fe1125a22311369600910,BTC,bitcoin,1850081177945653567,naiivememe,31,1157,Sat Oct 26 07:45:00 +0000 2024,"Wife: “Relax, Bitcoin is still around $60,000”  

Me knowing my portfolio is 90% in alts:
https://t.co/N0kREPyN4e",en,7,58,114,2024-10-28 19:08:02.787000
671fe1125a22311369600911,BTC,bitcoin,1850975824503091279,BitcoinMagazine,3,358,Mon Oct 28 19:00:00 +0000 2024,"$70,000 is the next victim. #Bitcoin https://t.co/fE10ufEdee",en,5,43,41,2024-10-28 19:08:02.787000
671fe1125a22311369600912,BTC,bitcoin,1850608761582535089,GreerHall,1,14,Sun Oct 27 18:41:26 +0000 2024,"Bitcoin skeptics will be a memory by 2028, and likely much sooner than that. https://t.co/NIqxAIVytV",en,0,1,2,2024-10-28 19:08:02.787000
671fe1125a22311369600913,BTC,bitcoin,1850379271497462175,naiivememe,59,1121,Sun Oct 27 03:29:31 +0000 2024,"Bitcoin 
https://t.co/6Ii8PLkW00",en,5,46,158,2024-10-28 19:08:02.787000
671fe1125a22311369600914,BTC,bitcoin,1849854318901592139,AltcoinDailyio,1059,16187,Fri Oct 25 16:43:32 +0000 2024,"Switzerland🇨🇭 unveils new statue honoring Satoshi Nakamoto, creator of #Bitcoin.

https://t.co/7ZiSQTcZLm",en,161,423,2285,2024-10-28 19:08:02.787000
671fe1125a22311369600915,BTC,bitcoin,1849390509027934634,Kluckies_,14,152,Thu Oct 24 10:00:32 +0000 2024,The difference between #bitcoin and fiat https://t.co/bo3srLQ1xq,en,2,9,43,2024-10-28 19:08:02.787000
671fe1125a22311369600916,BTC,bitcoin,1849118801905820067,Ashcryptoreal,75,6400,Wed Oct 23 16:00:51 +0000 2024,"If Bitcoin breaks $70k by end of Oct
I will give $2,000 to one person who
like this post and is following me.",en,16,866,1066,2024-10-28 19:08:02.787000
